PT	AU	TI	PY	SO	SE	BP	EP	AB	DT	PD	DI	methods	domains	IF	Cite	partition
C	Sama, Kyle; Morales, Yoichi; Akai, Naoki; Takeuchi, Eijiro; Takeda, Kazuya	Learning How to Drive in Blind Intersections from Human Data	2018	2018 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC)	IEEE International Conference on Systems Man and Cybernetics Conference Proceedings	317	324	In this paper we present a method to learn how to drive in different types of blind intersections using expert driving data. We cluster different intersections based on the velocity of how drivers approach them, and train a linear SVM classifier for each class of intersection. Through clustering we found that there were three different classes of intersections in typical residential areas in Japan. We used inverse reinforcement learning (IRL) to build a driving model for each type of intersection. The models were trained from 308 trajectories traversed by 5 different drivers. The models and policies were implemented and evaluated in a ROS simulator where the agent is provided a global path, and upon it reaching an intersection, it selects the appropriate trained policy. By doing this, the simulated autonomous vehicle can perform proactive safe driving behaviors when approaching blind intersections.	Proceedings Paper	2018	10.1109/SMC.2018.00064	[]	[]	-1	-1	-1
J	Abeywickrama, Dhaminda B.; Griffiths, Nathan; Xu, Zhou; Mouzakitis, Alex	Emergence of norms in interactions with complex rewards	2023	AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS				Autonomous agents are becoming increasingly ubiquitous and are playing an increasing role in wide range of safety-critical systems, such as driverless cars, exploration robots and unmanned aerial vehicles. These agents operate in highly dynamic and heterogeneous environments, resulting in complex behaviour and interactions. Therefore, the need arises to model and understand more complex and nuanced agent interactions than have previously been studied. In this paper, we propose a novel agent-based modelling approach to investigating norm emergence, in which such interactions can be investigated. To this end, while there may be an ideal set of optimally compatible actions there are also combinations that have positive rewards and are also compatible. Our approach provides a step towards identifying the conditions under which globally compatible norms are likely to emerge in the context of complex rewards. Our model is illustrated using the motivating example of self-driving cars, and we present the scenario of an autonomous vehicle performing a left-turn at a T-intersection.	Article	JUN 2023	10.1007/s10458-022-09585-3	[]	[]	-1	-1	-1
B	G, A.; Hemalatha, R.; N, S.; Kavitha, K.R.; Tamilselvi, M.; Kumar, A.K.	MNNP: Design and Development of Traffic Sign Identification and Recognition System to Support Smart Vehicles using Modified Neural Network Principles	2023	2023 International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)		1	7	In recent times, the acceleration of automotive and computer vision technologies has sparked significant interest in autonomous vehicles. These vehicles' capacity to operate securely and effectively hinges on their adeptness at accurately identifying traffic signs. Consequently, traffic sign recognition has emerged as a pivotal element within autonomous driving systems. Scientists have been hard at work looking at various approaches to accomplishing this recognition, mostly drawing on machine learning and deep learning techniques. To address this issue, we offer a Modified Neural Network approach that combines the Haar cascade algorithm with a MobileNet model classifier. Our developed model is rigorously trained on the GTSRB dataset and then put to the test on a wide variety of traffic sign types. The culmination of our efforts yields a remarkable testing accuracy rate of 97.25%. This finding highlights the possible effectiveness of our technique in improving autonomously vehicle traffic sign identification, which in turn helps to improve the security and effectiveness of autonomous driving systems.	Conference Paper	2023	10.1109/RMKMATE59243.2023.10369847	[]	[]	-1	-1	-1
J	Mosharafian, Sahand; Afzali, Shirin; Mohammadpour Velni, Javad	Leveraging autonomous vehicles in mixed-autonomy traffic networks with reinforcement learning-controlled intersections	2023	TRANSPORTATION LETTERS-THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH		1218	1229	Development of new approaches to adaptive traffic signal control has received significant attention; an example is the reinforcement learning (RL), where training and implementation of an RL agent can allow adaptive signal control in real time, considering the agent's past experiences. Furthermore, autonomous vehicle (AV) technology has shown promise to enhancing the traffic mobility at highways and intersections. In this paper, delayed action deep Q-learning is developed for a vehicle network with signalized intersections to control the signal phase. A model predictive control (MPC) scheme is proposed to allow AVs to adapt their speed. Several case studies that consider mixed autonomy are examined aiming at reducing network traffic and fuel consumption in the traffic network with multiple intersections. Simulation studies reveal that even with a few AVs in the network, the waiting time, fuel consumption, and the number of stop-and-go movements are significantly reduced, while the travel time is increased.	Article; Early Access		10.1080/19427867.2022.2146302	[]	[]	-1	-1	-1
B	Zhang, Y.; Zhang, S.; Liang, Z.; Li, H.L.; Wu, H.; Liu, Q.	Dynamical Driving Interactions between Human and Mentalizing-designed Autonomous Vehicle	2022	2022 IEEE International Conference on Development and Learning (ICDL)		178	83	Autonomous vehicle (AV) is progressing rapidly, but there are still many shortcomings when interacting with humans. To address this problem, it is necessary to study the human behaviors in human-AV interactions, and build a predictive model of human decision-making in the interaction. In turn, modelling human behavior in human-AV interaction can help us better understand human perception of AVs and human driving strategies. In this work, we first train multi-level AV agents using reinforcement learning (RL) models to imitate three mentalizing levels (i.e., level-0, level-1, and level-2), and then design a human-AV driving task that subjects interact with each level of AV agents in a two-lane merging scenario. Both human and AV driving behaviors are recorded. We found that conservative subjects obtain more rewards because of the randomness of the RL agents. Our results indicate that (i) human driving strategies are flexible and changeable, which allows to quickly adjust the strategy to maximize the reward when gaming against AV; (ii) human driving strategies are related to mentalizing ability, and subjects with higher mentalizing scores drive more conservatively. Our study shed lights on the relationship between human driving policy and mentalizing in human-AV interactions, and it can inspire the next-generation AV.	Conference Paper	2022	10.1109/ICDL53763.2022.9962198	[]	[]	-1	-1	-1
C	Soni, Himanshu; Gupta, Vishu; Kumar, Rajesh	Motion Planning using Reinforcement Learning for Electric Vehicle Battery Optimization(EVBO)	2019	2019 INTERNATIONAL CONFERENCE ON POWER ELECTRONICS, CONTROL AND AUTOMATION (ICPECA-2019)		11	16	The increasing demand for electric vehicle and autonomous vehicle as the alternate to the combustion-driven vehicle has motivated the research in the area of motion planning. Motion planning is a complicated problem as it requires the consideration of multiple entities, mainly human behaviour. In this paper, reinforcement learning techniques are explored for the motion planning of an electric vehicle(EV) while optimizing battery consumption. The EV travel time has also been evaluated under different reinforcement learning schemes. A traffic simulation network is developed for a high-trunk zone of Jaipur city using Simulation for Urban Mobility(SUMO) software. Model-based and model-free method like value-iteration and q-learning are applied to the developed traffic network. The results show that value iteration and q-learning have shown improved battery consumption. However, value iteration gives greater efficiency in terms of travel time as well as battery consumption.	Proceedings Paper	2019	10.1109/icpeca47973.2019.8975684	[]	[]	-1	-1	-1
C	Salvato, Erica; Ghosh, Arnob; Fenu, Gianfranco; Parisini, Thomas	Control of a Mixed Autonomy Signalised Urban Intersection: An Action-Delayed Reinforcement Learning Approach	2021	2021 IEEE INTELLIGENT TRANSPORTATION SYSTEMS CONFERENCE (ITSC)	IEEE International Conference on Intelligent Transportation Systems-ITSC	2042	2047	We consider a mixed autonomy scenario where the traffic intersection controller decides whether the traffic light will be green or red at each lane for multiple traffic-light blocks. The objective of the traffic intersection controller is to minimize the queue length at each lane and maximize the outflow of vehicles over each block. We consider that the traffic intersection controller informs the autonomous vehicle (AV) whether the traffic light will be green or red for the future traffic-light block. Thus, the AV can adapt its dynamics by solving an optimal control problem. We model the decision process of the traffic intersection controller as a deterministic delayed Markov decision process owing to the delayed action by the traffic controller. We propose Reinforcement Learning based model-free algorithm to obtain the optimal policy. We show - by extensive simulations - that our algorithm converges and drastically reduces the energy costs of AVs as the traffic controller communicates with the AVs.	Proceedings Paper	2021	10.1109/ITSC48978.2021.9564983	[]	[]	-1	-1	-1
B	Siddique, U.; Sinha, A.; Cao, Y.	On Deep Reinforcement Learning for Target Capture Autonomous Guidance	2024	AIAA SCITECH 2024 Forum		0957	0957	This paper explores the prospects of motion planning of autonomous vehicles using deep reinforcement learning (DRL). We are particularly interested in a goal-directed setting where the need is to design an optimal guidance strategy for a pursuing autonomous vehicle (the pursuer, which is also the DRL agent) to capture an adversary (the target). To this end, we first formulate the target capture guidance problem as a Markov Decision Process (MDP) wherein the kinematics of relative motion between the vehicles constitute the MDP, and the pursuer's lateral acceleration (chosen as its steering control to account for turn constraints) is the action of DRL agent. We show that a multifaceted reward function motivated by the collision conditions is sufficient and effective in designing the reinforcement learning action that enables the pursuer to capture the target regardless of the latter's motion. We then empirically evaluate the performance of the trained agent in various target capture scenarios.	Conference Paper	2024	10.2514/6.2024-0957	[]	[]	-1	-1	-1
B	Auxilius jude, M.J.; Diniesh, V.C.; K, P.K.; S, R.; S, N.K.; E n, S.	An Improved Retransmission Timeout Forecasting Algorithm for Vehicular Networks	2022	2022 Second International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT).		5 pp.	5 pp.	The vehicular relay network remains a promising path of future intelligent transportation systems (ITS) that connects the autonomous vehicle with the internet for better traffic control and information sharing. The transmission control protocol (TCP) remains the backbone of data traffic on the internet as it harbors an enormous portion of global internet traffic between end devices. In VANET, TCP experiences drastic performance degradation during early or spurious RTO timeouts. This paper proposes a recursive learning retransmission timeout (RL-RTO), which efficiently reduces spurious timeouts and enhances fast recovery after timeouts. The RL-RTO forecast timer value is based on the three control parameters. The performance of RL-RTO is validated against recent RTO approaches under multi-hop vehicular environments. The proposed RL-RTO considerably regulates estimation errors and improves variance.	Conference Paper	2022	10.1109/ICAECT54875.2022.9807985	[]	[]	-1	-1	-1
J	Kamel, Ahmed; Sayed, Tarek; Fu, Chuanyun	Real-time safety analysis using autonomous vehicle data: a Bayesian hierarchical extreme value model	2023	TRANSPORTMETRICA B-TRANSPORT DYNAMICS		826	846	This study proposes an approach for real-time road network safety analysis using autonomous vehicles (AVs) generated data. The approach utilises a Bayesian hierarchical spatial random parameter extreme value model (BHSRP). The model simultaneously addresses the scarcity and non-stationarity of conflict extremes and unobserved spatial heterogeneity. Two real-time safety metrics are estimated: the risk of crash (RC) and return level (RL). The RC and RL were applied to three months AVs data for evaluating the real-time safety level of an urban corridor in Palo Alto, California. The indicator time to collision (TTC) was used to characterise traffic conflicts. The conflict extreme was defined as the maxima of negated TTC in a 20-min interval (block). The results show that RC can differentiate the block-level risk level, while RL can reflect safety levels among blocks. For the RC, the hot (crash risk prone) segments and intersections are associated with more severe conflict frequency.	Article; Early Access		10.1080/21680566.2022.2135634	[]	[]	-1	-1	-1
B	Wan, A.D.M.; Braspenning, P.J.	Computational design principles for multiple autonomous vehicle organization	1995	28th International Symposium on Automotive Technology and Automation. Proceedings for the Dedicated Conference on Robotics, Motion and Machine Vision in the Automotive Industries		383	94	In distributed artificial intelligence (AI), a bifurcation in design principles can be observed. On the one hand there seems to be a resurgence of the `classical' AI approach of bestowing agents with human-like intelligent capacities and on the other hand there is an anti-representational school emerging. Classical AI has had to endure severe criticisms while anti-representational approaches fall short on providing a programme for developing and implementing higher-order intelligent functions. The approach taken in this paper is a middle-out strategy between these extremes and describes the associated principles of autonomous agent design including rigorous adaptive capacities based on reinforcement learning and possibilities of integration with higher-order intelligent functions. An outline of an architecture is presented that enables multiple autonomous vehicles (mobile agents), if equipped with it, to communicate and to coordinate thereby achieving a synthesis between the logico-linguistic and the reactive approaches.	Conference Paper	1995		[]	[]	-1	-1	-1
J	Ottoni, Andre L. C.; Nepomuceno, Erivelton G.; Oliveira, Marcos S. de; Oliveira, Daniela C. R. de	Reinforcement learning for the traveling salesman problem with refueling	2022	COMPLEX & INTELLIGENT SYSTEMS		2001	2015	The traveling salesman problem (TSP) is one of the best-known combinatorial optimization problems. Many methods derived from TSP have been applied to study autonomous vehicle route planning with fuel constraints. Nevertheless, less attention has been paid to reinforcement learning (RL) as a potential method to solve refueling problems. This paper employs RL to solve the traveling salesman problem With refueling (TSPWR). The technique proposes a model (actions, states, reinforcements) and RL-TSPWR algorithm. Focus is given on the analysis of RL parameters and on the refueling influence in route learning optimization of fuel cost. Two RL algorithms: Q-learning and SARSA are compared. In addition, RL parameter estimation is performed by Response Surface Methodology, Analysis of Variance and Tukey Test. The proposed method achieves the best solution in 15 out of 16 case studies.	Article; Early Access		10.1007/s40747-021-00444-4	[]	[]	-1	-1	-1
J	Razzaq, Waleed; Hongwei, Mo	Neural Circuit Policies Imposing Visual Perceptual Autonomy	2023	NEURAL PROCESSING LETTERS		9101	9116	We presented a hybrid deep learning architecture by combining biological brain-inspired Neural Circuit Policies with convolutional neural architecture. This allows the agent to learn key coherent features from various environments, express generalizability and interpret dynamics. We found that a combination of 12 inter-neurons and 8 command neurons can effectively perform high-stakes decision-making tasks such as autonomous vehicles. Our architecture not only has 305 times fewer trainable parameters than competing approaches but shows superior performance, robustness, and noise resiliency in famous autonomous vehicle simulations i.e. OpenAI-CarRacing and Udacity Simulator.	Article; Early Access		10.1007/s11063-023-11194-4	[]	[]	-1	-1	-1
J	Kim, Hyunkun; Pyeon, Hyeongoo; Park, Jong Sool; Hwang, Jin Young; Lim, Sejoon	Autonomous Vehicle Fuel Economy Optimization with Deep Reinforcement Learning	2020	ELECTRONICS				The ever-increasing number of vehicles on the road puts pressure on car manufacturers to make their car fuel-efficient. With autonomous vehicles, we can find new strategies to optimize fuels. We propose a reinforcement learning algorithm that trains deep neural networks to generate a fuel-efficient velocity profile for autonomous vehicles given road altitude information for the planned trip. Using a highly accurate industry-accepted fuel economy simulation program, we train our deep neural network model. We developed a technique for adapting the heterogeneous simulation program on top of an open-source deep learning framework, and reduced dimension of the problem output with suitable parameterization to train the neural network much faster. The learned model combined with reinforcement learning-based strategy generation effectively generated the velocity profile so that autonomous vehicles can follow to control itself in a fuel efficient way. We evaluate our algorithm's performance using the fuel economy simulation program for various altitude profiles. We also demonstrate that our method can teach neural networks to generate useful strategies to increase fuel economy even on unseen roads. Our method improved fuel economy by 8% compared to a simple grid search approach.	Article	NOV 2020	10.3390/electronics9111911	[]	[]	-1	-1	-1
C	Hester, Todd; Quinlan, Michael; Stone, Peter	RTMBA: A Real-Time Model-Based Reinforcement Learning Architecture for Robot Control	2012	2012 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA)	IEEE International Conference on Robotics and Automation ICRA	85	90	Reinforcement Learning (RL) is a paradigm for learning decision-making tasks that could enable robots to learn and adapt to their situation on-line. For an RL algorithm to be practical for robotic control tasks, it must learn in very few samples, while continually taking actions in real-time. Existing model-based RL methods learn in relatively few samples, but typically take too much time between each action for practical on-line learning. In this paper, we present a novel parallel architecture for model-based RL that runs in real-time by 1) taking advantage of sample-based approximate planning methods and 2) parallelizing the acting, model learning, and planning processes in a novel way such that the acting process is sufficiently fast for typical robot control cycles. We demonstrate that algorithms using this architecture perform nearly as well as methods using the typical sequential architecture when both are given unlimited time, and greatly out-perform these methods on tasks that require real-time actions such as controlling an autonomous vehicle.	Proceedings Paper	2012		[]	[]	-1	-1	-1
J	Zhiqian Qiao; Schneider, J.; Dolan, J.M.	Behavior Planning at Urban Intersections through Hierarchical Reinforcement Learning [arXiv]	2020	arXiv		7 pp.	7 pp.	For autonomous vehicles, effective behavior planning is crucial to ensure safety of the ego car. In many urban scenarios, it is hard to create sufficiently general heuristic rules, especially for challenging scenarios that some new human drivers find difficult. In this work, we propose a behavior planning structure based on reinforcement learning (RL) which is capable of performing autonomous vehicle behavior planning with a hierarchical structure in simulated urban environments. Application of the hierarchical structure allows the various layers of the behavior planning system to be satisfied. Our algorithms can perform better than heuristic-rule-based methods for elective decisions such as when to turn left between vehicles approaching from the opposite direction or possible lane-change when approaching an intersection due to lane blockage or delay in front of the ego car. Such behavior is hard to evaluate as correct or incorrect, but for some aggressive expert human drivers handle such scenarios effectively and quickly. On the other hand, compared to traditional RL methods, our algorithm is more sample-efficient, due to the use of a hybrid reward mechanism and heuristic exploration during the training process. The results also show that the proposed method converges to an optimal policy faster than traditional RL methods.	Journal Paper	9 Nov. 2020		[]	[]	-1	-1	-1
C	Chen, Wei-Lun; Lee, Kwan-Hung; Hsiung, Pao-Ann	Intersection Crossing for Autonomous Vehicles based on Deep Reinforcement Learning	2019	2019 IEEE INTERNATIONAL CONFERENCE ON CONSUMER ELECTRONICS - TAIWAN (ICCE-TW)	IEEE International Conference on Consumer Electronics-Taiwan			Future intersection crossings for autonomous vehicles will not be controlled by traffic signals, rather a controller will be used for communication among vehicles that need to cross an intersection. In this work, we propose an innovative management system called Deep Reinforcement Learning-based Autonomous Intersection Management (DRLAIM) system, which is the first system to use deep reinforcement learning. We train the system to learn a good intersection control policy by interacting with traffic environment through reinforcement learning. The brake-safe control model is used to ensure the safety of each autonomous vehicle while crossing. Experiment results show that after training using reinforcement learning, the throughput of intersection control model increased by 83%. In comparison with the Fast First Service (FFS) policy, the average waiting time of DRLAIM reduced by about 1.2% to 11.4%.	Proceedings Paper	2019	10.1109/icce-tw46550.2019.8991738	[]	[]	-1	-1	-1
J	Wang, Kezhi; Wang, Liang; Pan, Cunhua; Ren, Hong	Deep Reinforcement Learning-Based Resource Management for Flexible Mobile Edge Computing Architectures, Applications, and Research Issues	2022	IEEE VEHICULAR TECHNOLOGY MAGAZINE		85	93		Article; Early Access		10.1109/MVT.2022.3156745	[]	[]	-1	-1	-1
C	Ibn-Khedher, Hatem; Laroui, Mohammed; Ben Mabrouk, Mouna; Moungla, Hassine; Afifi, Hossam; Oleari, Alberto Nai; Kamal, Ahmed E.	Edge Computing Assisted Autonomous Driving Using Artificial Intelligence	2021	IWCMC 2021: 2021 17TH INTERNATIONAL WIRELESS COMMUNICATIONS & MOBILE COMPUTING CONFERENCE (IWCMC)	International Wireless Communications and Mobile Computing Conference	254	259	The emergence of new vehicles generation such as connected and autonomous vehicles led to new challenges in the vehicular networking and computing managements to provide efficient services and guarantee the quality of service. The edge computing facility allows the decentralization of processing from the cloud to the edge of the network. In this paper, we design and propose an end-to-end, reliable and low latency communication architecture that allows the allocation of compute-intensive autonomous driving services, in particular autopilot, to shared resources on edge computing servers and improve the level of performance for autonomous vehicles. The reference architecture is used to design an Advanced Autonomous Driving (AAD) communication protocol between autonomous vehicles, edge computing servers, and the centralized cloud. Then, a mathematical programming approach using Integer Linear Programming (ILP) is formulated to model the autopilot chain resources Offloading at the network edge. Further, a deep reinforcement learning (DRL) approach is proposed to deal with dense Internet of Autonomous Vehicle (IoAV) networks. Moreover, several scenarios are considered to quantify the behavior of the optimization approaches. We compare their efficiency in terms of Total Edge Servers Utilization, Total Edge Servers Allocation Time, and Successfully Allocated Edge Autopilots.	Proceedings Paper	2021	10.1109/IWCMC51323.2021.9498627	[]	[]	-1	-1	-1
B	Nian, G.; Xiao, J.; Zhou, X.	Dueling DQN-Rollout for Collision Avoidance Path Planning with Vehicle Speed Location	2023	2023 3rd International Symposium on Computer Technology and Information Science (ISCTIS)		552	7	The rapid progress of artificial intelligence has led to significant advancements in the field of autonomous driving, yet effective collision avoidance path planning remains a challenging task. In response, deep reinforcement learning offers an efficient and modern alternative to traditional navigation strategies. This paper proposes a novel approach that incorporates vehicle speed location into the deep reinforcement learning process, utilizing the Dueling DQN-Rollout framework to consider both the distance of the road and obstacles ahead. The agent interacts with the environment to learn a policy, with a reward function that accounts for deviations from the intended path and collisions with obstacles. The training process focuses on imparting human-like driving skills to the autonomous vehicle. By employing the rollout algorithm, the rough Q-value is optimized to reduce training costs. Experimental results demonstrate that this approach can successfully plan a collision-free path for autonomous driving from origin to destination on a simulation platform.	Conference Paper	2023	10.1109/ISCTIS58954.2023.10213163	[]	[]	-1	-1	-1
B	Yang, Q.; Li, G.; Li, G.; Liu, Y.	Trajectory Tracking Control of Autonomous Vehicles Based on Reinforcement Learning and Curvature Feedforward	2022	2022 6th CAA International Conference on Vehicular Control and Intelligence (CVCI)		1	6	This paper proposes a trajectory tracking algorithm with adaptive parameter PID (Proportional-Integral-Derivative) controller based on reinforcement learning and curvature feedforward controller. This paper uses the deep reinforcement learning PPO algorithm (Proximal Policy Optimization) to adjust the parameters of the PID controller online, which is used for the lateral control of the autonomous vehicle. In addition, the maximum policy entropy is introduced based on PPO algorithm to enhance the exploration of policy. And a curvature feedforward controller is added, which will limit the speed according to the curvature of the road ahead, to avoid the problem that the vehicle is difficult to control when turning due to excessive speed. The training results show that compared with the traditional PPO algorithm, this method can get more rewards in the later stage of training. The simulation results show that this algorithm can reduce the average track error, reduce the overshoot and oscillation, and improve the tracking accuracy and robustness.	Conference Paper	2022	10.1109/CVCI56766.2022.9964583	[]	[]	-1	-1	-1
C	Xu, Zhi; Liu, Shuncheng; Wu, Ziniu; Chen, Xu; Zeng, Kai; Zheng, Kai; Su, Han	PATROL: A Velocity Control Framework for Autonomous Vehicle via Spatial-Temporal Reinforcement Learning	2021	PROCEEDINGS OF THE 30TH ACM INTERNATIONAL CONFERENCE ON INFORMATION & KNOWLEDGE MANAGEMENT, CIKM 2021		2271	2280	The largest portion of urban congestion is caused by 'phantom' traffic jams, causing significant delay travel time, fuel waste, and air pollution. It frequently occurs in high-density traffics without any obvious signs of accidents or roadworks. The root cause of 'phantom' traffic jams in one-lane traffics is the sudden change in velocity of some vehicles (i.e. harsh driving behavior (HDB)), which may generate a chain reaction with accumulated impact throughout the vehicles along the lane. This paper makes the first attempt to address this notorious problem in a one-lane traffic environment through velocity control of autonomous vehicles. Specifically, we propose a velocity control framework, called PATROL (sPAtial-Temporal ReinfOrcement Learning). First, we design a spatial-temporal graph inside the reinforcement learning model to process and extract the information (e.g. velocity and distance difference) of multiple vehicles ahead across several historical time steps in the interactive environment. Then, we propose an attention mechanism to characterize the vehicle interactions and an LSTM structure to understand the vehicles' driving patterns through time. At last, we modify the reward function used in previous velocity control works to enable the autonomous driving agent to predict the HDB of preceding vehicles and smoothly adjust its velocity, which could alleviate the chain reaction caused by HDB. We conduct extensive experiments to demonstrate the effectiveness and superiority of PATROL in alleviating the 'phantom' traffic jam in simulation environments. Further, on the real-world velocity control dataset, our method significantly outperforms the existing methods in terms of driving safety, comfortability, and efficiency.	Proceedings Paper	2021	10.1145/3459637.3482283	[]	[]	-1	-1	-1
C	Gonzalez-Miranda, Oscar; Miranda, Luis Antonio Lopez; Ibarra-Zannatha, Juan Manuel	Q-Learning for autonomous vehicle navigation	2023	2023 XXV ROBOTICS MEXICAN CONGRESS, COMROB		138	142	In this work, we proposed and developed a reinforcement Q-learning method to do the lane-keeping and obstacle evasion driving maneuvers. We detail how to design a simple car simulator and how to use it to do the training. For each problem, we define different states, actions, and reward functions to obtain a Q-table. Next, we use it as a driving maneuver controller in a different simulation environment. With this method, our car successfully droves on a road different to where it was training. An important conclusion is the possibility to build, more complex controllers to do passing or behavior selectors.	Proceedings Paper	2023	10.1109/COMROB60035.2023.10349747	[]	[]	-1	-1	-1
J	Drungilas, Darius; Kurmis, Mindaugas; Senulis, Audrius; Lukosius, Zydrunas; Andziulis, Arunas; Januteniene, Jolanta; Bogdevicius, Marijonas; Jankunas, Valdas; Voznak, Miroslav	Deep reinforcement learning based optimization of automated guided vehicle time and energy consumption in a container terminal	2023	ALEXANDRIA ENGINEERING JOURNAL		397	407	The energy efficiency of port container terminal equipment and the reduction of CO2 emissions are among one of the biggest challenges facing every seaport in the world. The article pre-sents the modeling of the container transportation process in a terminal from the quay crane to the stack using battery-powered Automated Guided Vehicle (AGV) to estimate the energy consump-tion parameters. An AGV speed control algorithm based on Deep Reinforcement Learning (DRL) is proposed to optimize the energy consumption of container transportation. The results obtained and compared with real transportation measurements showed that the proposed DRL-based approach dynamically changing the driving speed of the AGV reduces energy consumption by 4.6%. The obtained results of the research provide the prerequisites for further research in order to find optimal strategies for autonomous vehicle movement including context awareness and infor-mation sharing with other vehicles in the terminal.(c) 2022 THE AUTHORS. Published by Elsevier BV on behalf of Faculty of Engineering, Alexandria University. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/ licenses/by-nc-nd/4.0/).	Article; Early Access		10.1016/j.aej.2022.12.057	[]	[]	-1	-1	-1
J	Feher, Arpad; Aradi, Szilard; Becsi, Tamas	Online Trajectory Planning with Reinforcement Learning for Pedestrian Avoidance	2022	ELECTRONICS				Planning the optimal trajectory of emergency avoidance maneuvers for highly automated vehicles is a complex task with many challenges. The algorithm needs to decrease accident risk by reducing the severity and keeping the car in a controllable state. Optimal trajectory generation considering all aspects of vehicle and environment dynamics is numerically complex, especially if the object to be avoided is moving. This paper presents a hierarchical method for the avoidance of moving objects in an autonomous vehicle, where a reinforcement learning agent is responsible for local planning, while longitudinal and lateral control is performed by the low-level model-predictive controller and Stanley controllers. In the developed architecture, the agent is responsible for the optimization. It is trained in various scenarios to provide the necessary parameters for a polynomial-based path and a velocity profile in a neural network output. The vehicle performs only the first step of the trajectory, which is redesigned repeatedly by the planner based on the new state. In the training phase, the vehicle executes the entire trajectory via low-level controllers to determine the reward value, which realizes a prediction for the future. The agent receives feedback and can further improve its performance. Finally, the proposed framework was tested in a simulation environment and was also compared to human drivers' abilities.	Article	AUG 2022	10.3390/electronics11152346	[]	[]	-1	-1	-1
C	Khaitan, Shivesh; Dolan, John M.	State Dropout-Based Curriculum Reinforcement Learning for Self-Driving at Unsignalized Intersections	2022	2022 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS)	IEEE International Conference on Intelligent Robots and Systems	12219	12224	Traversing intersections is a challenging problem for autonomous vehicles, especially when the intersections do not have traffic control. Recently deep reinforcement learning has received massive attention due to its success in dealing with autonomous driving tasks. In this work, we address the problem of traversing unsignalized intersections using a novel curriculum for deep reinforcement learning. The proposed curriculum leads to: 1) A faster training process for the reinforcement learning agent, and 2) Better performance compared to an agent trained without curriculum. Our main contribution is two-fold: 1) Presenting a unique curriculum for training deep reinforcement learning agents, and 2) demonstrating the performance improvement using the proposed curriculum in the unsignalized intersection traversal task. The framework expects processed observations of the surroundings from the perception system of the autonomous vehicle. We test our method in the CommonRoad motion planning simulator on T-intersections and four-way intersections.	Proceedings Paper	2022	10.1109/IROS47612.2022.9981109	[]	[]	-1	-1	-1
C	Guo, Youtian; Gao, Qi; Pan, Fengan	Trained Model Reuse of Autonomous-Driving in Pygame with Deep Reinforcement Learning	2020	PROCEEDINGS OF THE 39TH CHINESE CONTROL CONFERENCE	Chinese Control Conference	5660	5664	Autonomous-Driving technology has begun to bring great convenience to daily trip, transportation, and surveying harsh environment. Considering that deep reinforcement learning has requirements for the convergence performance of the training results, and the actual training results sometimes cannot converge steadily or fail to reach the training goals, in this paper, the trained model reuse method was proposed, which can use the trained model generates Q(S-t, A(t)) and can he used as a part of Deep Reinforcement Learning model, and this model was built based on the value function that could predict the Q value corresponding to the various actions performed in the environment state. In the Pygame platform, a simplified traffic simulation environment was set, it is observed that the Autonomous-Driving vehicle could run smoothly without collision in a fixed-length test simulation environment, and this trained model reuse method could help autonomous vehicle accelerate the learning process, obtain better simulation results during most of the training process, save simulation time and computing resources.	Proceedings Paper	2020		[]	[]	-1	-1	-1
B	Cui, Z.; Li, M.; Huang, Y.; Wang, Y.; Chen, H.	An interpretation framework for autonomous vehicles decision-making via SHAP and RF	2022	2022 6th CAA International Conference on Vehicular Control and Intelligence (CVCI)		1	7	Decision-making for autonomous vehicles is critical to achieving safe and efficient autonomous driving. In recent years, deep reinforcement learning (DRL) techniques have emerged as the most promising way to enable intelligent decision-making. However, DRL with 'black box' nature is not widely understood by humans, thus hindering their social acceptance. In this paper, we combine SHapley Additive exPlanation (SHAP) and random forest (RF) techniques to bring transparency to decision-making obtained by DRL. Specifically, we first implement decision-making of autonomous vehicles following in discrete action space based on DRL algorithm with the goal of safety and efficiency. Then we use the SHAP technique to simplify the feature space, which shows that relative distance, longitudinal speed of the ego vehicle, and longitudinal speed of the proceeding vehicle have a critical impact on vehicle following task. Finally, we collect the state-action pairs generated by the DRL model and perform feature filtering, and fit the decision model with an interpretable RF model. The simulation results show that the RF model achieves the behavioral explanation of autonomous vehicle following.	Conference Paper	2022	10.1109/CVCI56766.2022.9964561	[]	[]	-1	-1	-1
